100,sorted,7.3292E-5,2.9708E-5,2.4458E-5
100,shuffled,3.2167E-5,2.1041E-5,1.95E-5
100,reversed,2.9792E-5,2.0333E-5,1.9875E-5
90,sorted,7.1791E-5,2.6792E-5,2.4083E-5
90,shuffled,2.95E-5,1.8791E-5,1.8042E-5
90,reversed,2.6709E-5,1.7959E-5,1.7917E-5
80,sorted,6.0667E-5,2.3708E-5,2.65E-5
80,shuffled,3.3084E-5,2.2625E-5,2.0708E-5
80,reversed,2.7292E-5,1.5375E-5,2.1209E-5
70,sorted,5.4458E-5,2.0958E-5,2.35E-5
70,shuffled,2.8875E-5,2.0E-5,2.2875E-5
70,reversed,2.2208E-5,1.5583E-5,1.5458E-5
60,sorted,5.0917E-5,1.6792E-5,2.1334E-5
60,shuffled,1.9875E-5,1.1666E-5,1.3416E-5
60,reversed,2.1583E-5,9.958E-6,1.2208E-5
50,sorted,4.4916E-5,1.375E-5,1.7833E-5
50,shuffled,1.9667E-5,1.3375E-5,2.9042E-5
50,reversed,2.0458E-5,1.4625E-5,1.5833E-5
40,sorted,4.5084E-5,1.1375E-5,1.4542E-5
40,shuffled,1.6417E-5,9.209E-6,8.834E-6
40,reversed,1.2584E-5,7.334E-6,8.834E-6
30,sorted,3.6292E-5,8.708E-6,1.1166E-5
30,shuffled,1.1667E-5,8.375E-6,9.834E-6
30,reversed,1.125E-5,5.667E-6,6.917E-6
20,sorted,3.2417E-5,6.0E-6,7.959E-6
20,shuffled,8.5E-6,5.584E-6,6.5E-6
20,reversed,8.333E-6,5.417E-6,6.417E-6
10,sorted,2.4334E-5,4.042E-6,5.041E-6
10,shuffled,4.167E-6,2.708E-6,3.208E-6
10,reversed,4.0E-6,2.667E-6,3.208E-6
